Date,Open,High,Low,Close,Volume,Change
2016_4_8_,1240.4,1244.6,1231.2,1242,-,0.47%
2016_4_7_,1224.8,1242.9,1224.6,1236.2,-,1.12%
2016_4_6_,1230.4,1230.4,1217.6,1222.5,0.25K,-0.48%
2016_4_5_,1215.4,1236.7,1215.4,1228.4,0.48K,0.85%
2016_4_4_,1221.7,1222.3,1215,1218,2.04K,-0.34%
2016_4_1_,1232.3,1235.2,1209.2,1222.2,1.60K,-0.97%
2016_3_31_,1225.6,1239.6,1224.5,1234.2,3.38K,0.59%
2016_3_30_,1241.4,1245,1223.4,1226.9,48.25K,-0.70%
2016_3_29_,1217.8,1217.8,1217.7,1235.6,0.04K,1.29%
2016_3_28_,1211.5,1222.2,1210,1219.9,0.03K,0.26%
2016_3_25_,1216.7,1216.7,1216.7,1216.7,-,-0.38%
2016_3_24_,1214.2,1221.3,1214.2,1221.4,0.01K,-0.19%
2016_3_23_,1247.7,1247.7,1218.6,1223.7,0.03K,-1.96%
2016_3_22_,1244,1252.4,1243.8,1248.2,0.02K,0.35%
2016_3_21_,1256.2,1256.2,1243.4,1243.8,1.06K,-0.80%
2016_3_18_,1257.1,1264.4,1251.5,1253.8,0.54K,-0.85%
2016_3_17_,1261.5,1270.1,1255.9,1264.5,0.03K,2.86%
2016_3_16_,1229.5,1263.8,1228.9,1229.3,0.05K,-0.09%
2016_3_15_,1228.3,1236,1228,1230.4,0.04K,-1.13%
2016_3_14_,1256,1258,1234.5,1244.4,0.06K,-1.14%
2016_3_11_,1270,1280.7,1249.4,1258.7,0.09K,-1.05%
2016_3_10_,1250,1273,1237.5,1272,0.12K,1.23%
2016_3_9_,1254.5,1260,1244.8,1256.6,0.08K,-0.44%
2016_3_8_,1268.7,1276.3,1261,1262.1,0.04K,-0.09%
2016_3_7_,1259.8,1272.3,1259.7,1263.2,0.07K,-0.53%
2016_3_4_,1263,1279.9,1250.9,1269.9,0.27K,0.99%
2016_3_3_,1238.4,1267.9,1238,1257.4,0.12K,1.31%
2016_3_2_,1232.8,1242.6,1226,1241.1,0.27K,0.88%
2016_3_1_,1240.5,1248.4,1229,1230.3,0.48K,-0.29%
2016_2_29_,1218.6,1241,1218.6,1233.9,0.58K,1.16%
2016_2_26_,1232.4,1239.1,1212.2,1219.8,0.66K,-1.49%
2016_2_25_,1239.4,1241.5,1235,1238.2,0.05K,-0.04%
2016_2_24_,1230,1250.1,1230,1238.7,0.11K,1.34%
2016_2_23_,1207.4,1226.1,1207.4,1222.3,0.35K,1.06%
2016_2_22_,1226.1,1226.1,1203,1209.5,0.28K,-1.70%
2016_2_19_,1230.8,1232.8,1221.8,1230.4,0.08K,0.35%
2016_2_18_,1209.6,1239.2,1201.6,1226.1,0.32K,1.24%
2016_2_17_,1196.5,1212.9,1196.5,1211.1,0.05K,0.26%
2016_2_16_,1233.1,1233.6,1193.6,1207.9,0.42K,-0.02%
2016_2_15_,1234,1235.1,1202.8,1208.1,-,-2.07%
2016_2_14_,1235.7,1235.9,1231.4,1233.6,-,-0.44%
2016_2_12_,1247.8,1247.8,1233.5,1239.1,0.25K,-0.71%
2016_2_11_,1205.6,1260.8,1204.6,1247.9,1.00K,4.45%
2016_2_10_,1189.8,1197.7,1182.1,1194.7,0.67K,-0.33%
2016_2_9_,1188.7,1199.2,1186.7,1198.7,0.70K,0.07%
2016_2_8_,1173.5,1200.4,1165,1197.9,0.93K,3.46%
2016_2_5_,1155.6,1174.8,1146,1157.8,0.88K,0.02%
2016_2_4_,1142.5,1157.3,1141,1157.6,0.77K,1.43%
2016_2_3_,1128.5,1146,1125,1141.3,1.63K,1.24%
2016_2_2_,1128.3,1131.4,1123,1127.3,1.23K,-0.05%
2016_2_1_,1116.7,1130,1115.3,1127.9,1.68K,1.03%
2016_1_29_,1114.4,1118.6,1108.8,1116.4,6.96K,0.07%
2016_1_28_,1125.4,1125.7,1109.8,1115.6,52.86K,-0.04%
2016_1_27_,1117.8,1117.8,1115.8,1116.1,0.01K,-0.50%
2016_1_26_,1115.1,1115.9,1114.3,1121.7,0.18K,1.40%
2016_1_25_,1099.3,1109.3,1099.3,1106.2,0.01K,0.82%
2016_1_22_,1098,1103.2,1098,1097.2,-,-0.17%
2016_1_21_,1103.6,1103.6,1094.1,1099.1,0.02K,-0.72%
2016_1_20_,1099.8,1109.8,1099.8,1107.1,0.03K,1.58%
2016_1_19_,1089.8,1094.4,1084.9,1089.9,0.02K,0.13%
2016_1_18_,1090.2,1093.3,1087.4,1088.5,-,-0.17%
2016_1_17_,1088.6,1090.8,1088.6,1090.3,-,-0.11%
2016_1_15_,1085,1095.8,1081.8,1091.5,0.04K,1.64%
2016_1_14_,1091.5,1091.5,1073.7,1073.9,0.06K,-1.25%
2016_1_13_,1081.5,1093.9,1081.5,1087.5,0.05K,0.18%
2016_1_12_,1093.8,1098.5,1084,1085.6,0.09K,-0.99%
2016_1_11_,1105.7,1107.9,1096.5,1096.5,0.04K,-0.12%
2016_1_8_,1111.1,1111.1,1093,1097.8,0.10K,-0.89%
2016_1_7_,1091.6,1109.4,1091.6,1107.7,0.12K,1.45%
2016_1_6_,1081.6,1093.7,1081.6,1091.9,0.05K,1.25%
2016_1_5_,1075.6,1081.5,1075.3,1078.4,0.08K,0.31%
2016_1_4_,1063.4,1082.5,1063.2,1075.1,0.14K,1.40%
2015_12_31_,1061.9,1062,1058.5,1060.3,0.01K,0.02%
2015_12_30_,1068.6,1070.2,1059.7,1060.1,0.07K,-1.61%
2015_12_29_,1079.1,1079.7,1079.1,1077.5,0.07K,0.65%
2015_12_28_,1077.9,1098.8,1073.6,1070.5,0.36K,-0.62%
2015_12_24_,1074.3,1077.8,1073.5,1077.2,0.02K,0.73%
2015_12_23_,1074.5,1074.8,1070,1069.4,0.20K,-0.50%
2015_12_22_,1078.6,1078.6,1073.8,1074.8,0.11K,-0.66%
2015_12_21_,1070.2,1081.5,1070.2,1081.9,0.03K,1.47%
2015_12_18_,1053.7,1070.3,1052.7,1066.2,0.25K,1.47%
2015_12_17_,1072.6,1072.6,1050.5,1050.8,0.06K,-2.52%
2015_12_16_,1064.8,1078.7,1064.3,1078,0.08K,1.42%
2015_12_15_,1064.6,1066.2,1061.8,1062.9,0.22K,-0.17%
2015_12_14_,1074,1076.7,1060,1064.7,0.51K,-1.13%
2015_12_11_,1067.8,1079.4,1064.4,1076.9,0.41K,0.35%
2015_12_10_,1073,1076.3,1071.7,1073.1,0.23K,-0.42%
2015_12_9_,1075.1,1086,1070.6,1077.6,0.39K,0.12%
2015_12_8_,1071,1078.4,1069.6,1076.3,0.31K,-0.01%
2015_12_7_,1084.9,1086.5,1067.4,1076.4,0.66K,-0.75%
2015_12_4_,1063,1088.8,1058.7,1084.5,0.89K,2.15%
2015_12_3_,1054.4,1064.6,1046.2,1061.7,1.16K,0.71%
2015_12_2_,1068.7,1069.5,1049.6,1054.2,0.50K,-0.90%
2015_12_1_,1064.6,1074.6,1063.4,1063.8,3.44K,-0.19%
2015_11_30_,1056.5,1068.4,1052.1,1065.8,4.60K,0.91%
2015_11_27_,1070.7,1074.2,1051.1,1056.2,52.13K,-1.36%
2015_11_26_,1070.1,1074.2,1069.2,1070.8,-,0.03%
2015_11_25_,1070.2,1072,1068.5,1070.5,0.06K,-0.35%
2015_11_24_,1073.2,1079.4,1073.2,1074.3,0.22K,0.70%
2015_11_23_,1070,1071.5,1067.3,1066.8,0.06K,-0.89%
2015_11_20_,1082.9,1082.9,1082.9,1076.4,0.01K,-0.15%
2015_11_19_,1077.4,1082.4,1077.4,1078,0.01K,0.86%
2015_11_18_,1064,1071.9,1064,1068.8,0.01K,0.01%
2015_11_17_,1075.5,1075.8,1065.1,1068.7,0.01K,-1.38%
2015_11_16_,1092,1092.4,1085.4,1083.7,0.01K,0.27%
2015_11_13_,1083.1,1085.9,1081.3,1080.8,0.02K,0.00%
2015_11_12_,1086,1086.6,1086,1080.8,-,-0.36%
2015_11_11_,1091.4,1091.4,1084.2,1084.7,0.02K,-0.32%
2015_11_10_,1090.1,1091.3,1085,1088.2,0.02K,0.03%
