Date,Open,High,Low,Close,Volume,Change
2016_4_8_,15.2,15.415,15.125,15.405,-,1.63%
2016_4_7_,15.055,15.365,15.055,15.158,-,0.69%
2016_4_6_,15.13,15.195,14.915,15.054,41.55K,-0.41%
2016_4_5_,14.94,15.22,14.925,15.116,40.47K,1.15%
2016_4_4_,15.025,15.105,14.895,14.944,36.40K,-0.51%
2016_4_3_,15.05,15.08,14.995,15.02,-,-0.17%
2016_4_1_,15.445,15.48,14.785,15.046,71.49K,-2.70%
2016_3_31_,15.215,15.55,15.2,15.464,40.38K,1.66%
2016_3_30_,15.36,15.46,15.175,15.211,45.02K,-0.14%
2016_3_29_,15.23,15.375,15.06,15.233,47.51K,0.28%
2016_3_28_,15.19,15.375,15.14,15.19,27.24K,-0.20%
2016_3_27_,15.195,15.24,15.15,15.22,-,0.13%
2016_3_25_,15.2,15.2,15.2,15.2,-,0.01%
2016_3_24_,15.275,15.335,15.105,15.199,41.07K,-0.48%
2016_3_23_,15.885,15.935,15.235,15.272,76.68K,-3.86%
2016_3_22_,15.855,16.04,15.79,15.885,46.58K,0.24%
2016_3_21_,15.83,15.925,15.725,15.847,33.91K,0.30%
2016_3_20_,15.81,15.86,15.79,15.8,-,-0.07%
2016_3_18_,15.97,16.17,15.755,15.811,46.01K,-1.38%
2016_3_17_,15.625,16.075,15.565,16.033,79.23K,5.35%
2016_3_16_,15.29,15.675,15.21,15.219,47.24K,-0.28%
2016_3_15_,15.375,15.42,15.2,15.261,38.70K,-1.68%
2016_3_14_,15.52,15.85,15.31,15.521,58.17K,-0.06%
2016_3_13_,15.515,15.55,15.49,15.53,-,-0.48%
2016_3_11_,15.615,15.755,15.48,15.605,45.38K,0.36%
2016_3_10_,15.31,15.665,15.165,15.549,63.69K,1.19%
2016_3_9_,15.37,15.455,15.205,15.366,44.00K,-0.16%
2016_3_8_,15.65,15.76,15.35,15.39,52.20K,-1.55%
2016_3_7_,15.575,15.83,15.495,15.633,48.85K,0.15%
2016_3_6_,15.52,15.62,15.52,15.61,-,-0.45%
2016_3_4_,15.22,15.78,15.14,15.681,-,3.63%
2016_3_3_,14.945,15.33,14.92,15.131,0.68K,0.85%
2016_3_2_,14.81,15,14.76,15.003,0.81K,1.83%
2016_3_1_,14.925,15.04,14.725,14.733,0.92K,-1.09%
2016_2_29_,14.735,14.925,14.61,14.896,1.60K,0.92%
2016_2_28_,14.685,14.76,14.685,14.76,-,0.48%
2016_2_26_,15.135,15.23,14.675,14.689,23.34K,-3.17%
2016_2_25_,15.24,15.33,15.03,15.17,68.98K,-0.83%
2016_2_24_,15.3,15.595,15.185,15.297,83.78K,0.37%
2016_2_23_,15.19,15.32,15.17,15.24,59.96K,0.37%
2016_2_22_,15.365,15.37,14.945,15.184,67.44K,-1.02%
2016_2_21_,15.355,15.37,15.32,15.34,-,-0.21%
2016_2_19_,15.42,15.495,15.29,15.373,50.79K,-0.38%
2016_2_18_,15.315,15.57,15.225,15.432,62.25K,0.36%
2016_2_17_,15.275,15.415,15.19,15.377,60.01K,0.28%
2016_2_16_,15.705,15.74,15.155,15.334,87.04K,-0.01%
2016_2_15_,15.725,15.74,15.195,15.335,-,-2.51%
2016_2_14_,15.79,15.79,15.66,15.73,-,-0.38%
2016_2_12_,15.805,15.845,15.65,15.79,53.86K,-0.03%
2016_2_11_,15.285,15.99,15.285,15.794,93.36K,3.35%
2016_2_10_,15.285,15.325,15.11,15.282,57.40K,-1.08%
2016_2_9_,15.36,15.47,15.205,15.449,54.35K,0.15%
2016_2_8_,15,15.48,14.9,15.426,69.52K,3.18%
2016_2_7_,15.03,15.05,14.91,14.95,-,1.16%
2016_2_5_,14.88,15.065,14.67,14.778,53.90K,-0.48%
2016_2_4_,14.705,14.93,14.65,14.85,52.52K,0.79%
2016_2_3_,14.31,14.82,14.27,14.734,65.07K,3.11%
2016_2_2_,14.345,14.405,14.23,14.289,34.18K,-0.38%
2016_2_1_,14.255,14.42,14.2,14.343,35.15K,0.65%
2016_1_31_,14.245,14.26,14.22,14.25,-,0.05%
2016_1_29_,14.25,14.31,14.16,14.243,32.36K,0.08%
2016_1_28_,14.51,14.54,14.07,14.232,43.77K,-1.57%
2016_1_27_,14.515,14.585,14.36,14.459,37.69K,-0.72%
2016_1_26_,14.255,14.58,14.22,14.564,56.61K,2.17%
2016_1_25_,14.065,14.31,14.025,14.254,37.40K,1.45%
2016_1_24_,14.035,14.07,14.03,14.05,-,-0.05%
2016_1_22_,14.115,14.36,14.02,14.057,45.77K,-0.26%
2016_1_21_,14.175,14.21,13.885,14.094,48.80K,-0.47%
2016_1_20_,14.035,14.22,13.995,14.16,39.85K,0.28%
2016_1_19_,13.92,14.185,13.84,14.121,46.36K,1.59%
2016_1_18_,13.905,13.985,13.835,13.9,-,-0.07%
2016_1_17_,13.905,13.92,13.9,13.91,-,0.10%
2016_1_15_,13.85,14.135,13.765,13.896,44.61K,1.08%
2016_1_14_,14.175,14.185,13.74,13.748,50.73K,-2.88%
2016_1_13_,13.785,14.205,13.75,14.156,50.02K,2.95%
2016_1_12_,13.875,13.91,13.73,13.751,38.76K,-0.83%
2016_1_11_,13.965,14.075,13.825,13.866,41.86K,-0.57%
2016_1_10_,13.965,13.975,13.935,13.945,-,0.19%
2016_1_8_,14.325,14.34,13.87,13.918,52.19K,-2.97%
2016_1_7_,13.995,14.385,13.92,14.344,68.54K,2.63%
2016_1_6_,13.95,14.135,13.855,13.976,40.05K,0.04%
2016_1_5_,13.86,14.065,13.845,13.971,29.58K,0.94%
2016_1_4_,13.815,14.185,13.8,13.841,51.63K,-0.35%
2016_1_3_,13.84,13.89,13.84,13.89,-,0.63%
2015_12_31_,13.865,13.96,13.765,13.803,17.24K,-0.28%
2015_12_30_,13.925,13.985,13.75,13.842,24.31K,-0.62%
2015_12_29_,13.915,14.055,13.9,13.928,24.70K,0.32%
2015_12_28_,14.365,14.425,13.85,13.884,34.87K,-3.18%
2015_12_27_,14.34,14.36,14.32,14.34,-,-0.27%
2015_12_24_,14.3,14.4,14.265,14.379,13.69K,0.64%
2015_12_23_,14.26,14.345,14.2,14.287,22.40K,-0.19%
2015_12_22_,14.24,14.4,14.215,14.314,31.87K,-0.01%
2015_12_21_,14.11,14.33,14.045,14.315,38.61K,1.81%
2015_12_20_,14.1,14.105,14.04,14.06,-,-0.26%
2015_12_18_,13.71,14.195,13.685,14.096,45.14K,2.87%
2015_12_17_,14.195,14.225,13.665,13.703,48.01K,-3.83%
2015_12_16_,13.745,14.31,13.745,14.248,55.18K,3.47%
2015_12_15_,13.655,13.81,13.635,13.77,38.12K,0.55%
2015_12_14_,13.9,13.965,13.62,13.695,43.04K,-1.76%
2015_12_13_,13.9,13.97,13.89,13.94,-,0.40%
2015_12_11_,14.07,14.135,13.75,13.884,53.11K,-1.60%
2015_12_10_,14.155,14.225,14.09,14.11,22.05K,-0.56%
2015_12_9_,14.13,14.335,14.105,14.189,38.03K,0.52%
2015_12_8_,14.22,14.31,14.065,14.116,38.79K,-1.51%
2015_12_7_,14.59,14.64,14.205,14.332,41.32K,-0.95%
2015_12_6_,14.53,14.565,14.45,14.47,-,-0.40%
2015_12_4_,14.1,14.61,14.02,14.528,59.70K,3.20%
2015_12_3_,13.975,14.145,13.805,14.077,46.12K,0.49%
2015_12_2_,14.165,14.21,13.9,14.009,36.16K,-0.53%
2015_12_1_,14.06,14.24,14.04,14.083,31.41K,-0.02%
2015_11_30_,14.045,14.18,13.975,14.086,27.92K,0.36%
