Date,Open,High,Low,Close,Change
2016_4_8_,1.1989,1.2012,1.1963,1.1997,0.07%
2016_4_7_,1.1969,1.2027,1.1963,1.1989,0.16%
2016_4_6_,1.1973,1.1986,1.1947,1.1969,-0.03%
2016_4_5_,1.1969,1.1998,1.1967,1.1973,0.03%
2016_4_4_,1.197,1.2011,1.1947,1.1969,0.04%
2016_4_1_,1.2028,1.2029,1.1945,1.1964,-0.50%
2016_3_31_,1.1992,1.2038,1.1983,1.2025,0.27%
2016_3_30_,1.1922,1.2003,1.1913,1.1992,0.60%
2016_3_29_,1.193,1.1959,1.1906,1.1921,-0.08%
2016_3_28_,1.1884,1.1977,1.1883,1.1931,0.05%
2016_3_25_,1.1896,1.1933,1.1889,1.1924,0.24%
2016_3_24_,1.1917,1.194,1.189,1.1896,-0.18%
2016_3_23_,1.1944,1.1956,1.1897,1.1917,-0.22%
2016_3_22_,1.1954,1.1962,1.1927,1.1944,-0.09%
2016_3_21_,1.1989,1.2008,1.1946,1.1954,-0.30%
2016_3_18_,1.1978,1.2017,1.1962,1.199,0.10%
2016_3_17_,1.1901,1.199,1.1887,1.1978,0.65%
2016_3_16_,1.1913,1.2043,1.1886,1.1901,-0.10%
2016_3_15_,1.1935,1.1955,1.1894,1.1913,-0.18%
2016_3_14_,1.2018,1.2021,1.1927,1.1935,-0.08%
2016_3_11_,1.1924,1.1971,1.1919,1.1945,0.18%
2016_3_10_,1.192,1.1947,1.1889,1.1924,0.03%
2016_3_9_,1.1946,1.1949,1.1911,1.192,-0.21%
2016_3_8_,1.1915,1.1967,1.1911,1.1946,0.26%
2016_3_7_,1.1901,1.1932,1.1895,1.1915,-0.07%
2016_3_4_,1.1892,1.1954,1.1886,1.1924,0.26%
2016_3_3_,1.1866,1.1954,1.1862,1.1892,0.21%
2016_3_2_,1.1864,1.1892,1.1837,1.1867,0.03%
2016_3_1_,1.1863,1.1893,1.1836,1.1864,0.00%
2016_2_29_,1.1796,1.1883,1.1784,1.1863,-0.18%
2016_2_26_,1.1897,1.1918,1.1873,1.1884,-0.10%
2016_2_25_,1.1889,1.1904,1.1874,1.1897,0.05%
2016_2_24_,1.1905,1.1961,1.1877,1.1891,-0.12%
2016_2_23_,1.1916,1.1925,1.1887,1.1905,-0.08%
2016_2_22_,1.1907,1.194,1.1883,1.1916,-0.06%
2016_2_19_,1.1936,1.1967,1.1908,1.1923,-0.11%
2016_2_18_,1.1924,1.1957,1.1918,1.1936,0.10%
2016_2_17_,1.1952,1.1966,1.1911,1.1924,-0.24%
2016_2_16_,1.1991,1.1993,1.1943,1.1952,-0.33%
2016_2_15_,1.1869,1.1997,1.1852,1.1991,1.22%
2016_2_12_,1.1852,1.186,1.1827,1.1846,-0.05%
2016_2_11_,1.1853,1.1906,1.1835,1.1852,-0.01%
2016_2_10_,1.1859,1.1868,1.1832,1.1853,-0.05%
2016_2_9_,1.1856,1.2025,1.1843,1.1859,0.03%
2016_2_8_,1.1838,1.1881,1.1826,1.1856,0.03%
2016_2_5_,1.1861,1.1873,1.1832,1.1853,-0.07%
2016_2_4_,1.1856,1.1875,1.1827,1.1861,0.04%
2016_2_3_,1.184,1.207,1.183,1.1856,0.14%
2016_2_2_,1.1822,1.191,1.1813,1.184,0.15%
2016_2_1_,1.1783,1.1893,1.1783,1.1822,-0.12%
2016_1_29_,1.1846,1.1863,1.1828,1.1836,-0.09%
2016_1_28_,1.1847,1.1921,1.1834,1.1847,0.00%
2016_1_27_,1.1838,1.1928,1.1821,1.1847,0.08%
2016_1_26_,1.1851,1.1943,1.1826,1.1838,-0.11%
2016_1_25_,1.1854,1.1926,1.1826,1.1851,-0.03%
2016_1_22_,1.1865,1.1879,1.1832,1.1855,-0.08%
2016_1_21_,1.1884,1.1924,1.1859,1.1865,-0.16%
2016_1_20_,1.1895,1.1935,1.1872,1.1884,-0.09%
2016_1_19_,1.1856,1.1977,1.1851,1.1895,0.33%
2016_1_18_,1.189,1.1903,1.184,1.1856,0.10%
2016_1_15_,1.1808,1.1879,1.1775,1.1844,0.30%
2016_1_14_,1.1791,1.1828,1.1782,1.1808,0.03%
2016_1_13_,1.1805,1.1819,1.1785,1.1804,-0.01%
2016_1_12_,1.1818,1.1827,1.1784,1.1805,-0.13%
2016_1_11_,1.1898,1.1903,1.1702,1.182,0.48%
2016_1_8_,1.1764,1.181,1.1749,1.1764,0.00%
2016_1_7_,1.1824,1.188,1.1748,1.1764,-0.51%
2016_1_6_,1.1883,1.1904,1.1804,1.1824,-0.49%
2016_1_5_,1.1857,1.1902,1.1853,1.1882,0.21%
2016_1_4_,1.1892,1.1951,1.1822,1.1857,-0.67%
2016_1_1_,1.1941,1.1941,1.1937,1.1937,-0.03%
2015_12_31_,1.1941,1.1962,1.1924,1.1941,0.00%
2015_12_30_,1.1951,1.1957,1.193,1.1941,-0.08%
2015_12_29_,1.1948,1.1964,1.1896,1.1951,0.03%
2015_12_28_,1.199,1.2004,1.1933,1.1948,1.74%
2015_12_25_,1.1993,1.2054,1.1744,1.1744,-2.08%
2015_12_24_,1.1966,1.1994,1.1955,1.1993,0.23%
2015_12_23_,1.1965,1.1983,1.1943,1.1966,0.01%
2015_12_22_,1.1962,1.1986,1.1954,1.1965,0.03%
2015_12_21_,1.196,1.2027,1.1951,1.1962,0.03%
2015_12_18_,1.1959,1.2005,1.1932,1.1959,0.00%
2015_12_17_,1.1975,1.1983,1.1939,1.1959,-0.13%
2015_12_16_,1.1995,1.2004,1.1952,1.1975,-0.17%
2015_12_15_,1.1995,1.2037,1.1914,1.1995,0.00%
2015_12_14_,1.2057,1.2059,1.1988,1.1995,-0.05%
2015_12_11_,1.2041,1.2046,1.1995,1.2001,-0.33%
2015_12_10_,1.2054,1.2072,1.2025,1.2041,-0.10%
2015_12_9_,1.2079,1.2194,1.2045,1.2053,-0.22%
2015_12_8_,1.2094,1.2143,1.2055,1.2079,-0.11%
2015_12_7_,1.2134,1.2142,1.2071,1.2092,-0.19%
2015_12_4_,1.2112,1.2159,1.2095,1.2115,0.02%
2015_12_3_,1.2112,1.2555,1.204,1.2112,0.00%
2015_12_2_,1.2112,1.215,1.206,1.2112,0.00%
2015_12_1_,1.2115,1.2151,1.2104,1.2112,-0.02%
2015_11_30_,1.2129,1.214,1.2102,1.2115,-0.04%
2015_11_27_,1.2128,1.2133,1.2108,1.212,-0.07%
2015_11_26_,1.213,1.214,1.2118,1.2128,-0.02%
2015_11_25_,1.2129,1.2182,1.211,1.213,0.01%
2015_11_24_,1.2134,1.2149,1.2117,1.2129,-0.04%
2015_11_23_,1.2103,1.2148,1.206,1.2134,-0.02%
2015_11_20_,1.2144,1.2156,1.2127,1.2136,-0.07%
2015_11_19_,1.2138,1.2173,1.213,1.2144,0.05%
2015_11_18_,1.2151,1.2162,1.2114,1.2138,-0.11%
2015_11_17_,1.2166,1.2177,1.2135,1.2151,-0.12%
2015_11_16_,1.2077,1.2187,1.2077,1.2166,0.02%
2015_11_13_,1.2167,1.2192,1.2146,1.2163,-0.03%
2015_11_12_,1.2171,1.2293,1.2153,1.2167,-0.03%
2015_11_11_,1.2181,1.2231,1.2162,1.2171,-0.08%
2015_11_10_,1.2182,1.2196,1.216,1.2181,-0.01%
2015_11_9_,1.2195,1.2214,1.2088,1.2182,-0.17%
2015_11_6_,1.2215,1.2242,1.2038,1.2203,-0.10%
2015_11_5_,1.2235,1.224,1.2178,1.2215,-0.16%
2015_11_4_,1.2229,1.2245,1.2222,1.2235,0.05%
2015_11_3_,1.2228,1.2275,1.221,1.2229,0.01%
2015_11_2_,1.2284,1.2303,1.221,1.2228,-0.31%
2015_10_30_,1.219,1.2279,1.2183,1.2266,0.62%
2015_10_29_,1.218,1.2204,1.2179,1.219,0.08%
2015_10_28_,1.2199,1.2204,1.2168,1.218,-0.16%
2015_10_27_,1.2205,1.2232,1.2188,1.2199,-0.05%
2015_10_26_,1.2202,1.2235,1.2186,1.2205,0.02%
2015_10_23_,1.2188,1.2228,1.2173,1.2202,0.11%
2015_10_22_,1.2207,1.2217,1.2176,1.2188,-0.16%
2015_10_21_,1.2208,1.2224,1.2194,1.2207,-0.01%
2015_10_20_,1.2186,1.223,1.2168,1.2208,0.18%
2015_10_19_,1.2214,1.2255,1.2175,1.2186,-0.04%
2015_10_16_,1.221,1.2233,1.217,1.2191,-0.16%
2015_10_15_,1.221,1.2259,1.2194,1.221,0.00%
2015_10_14_,1.2216,1.2237,1.2156,1.221,-0.05%
2015_10_13_,1.2255,1.2264,1.2206,1.2216,-0.32%
2015_10_12_,1.2212,1.2267,1.2208,1.2255,0.37%
2015_10_9_,1.2196,1.2226,1.219,1.221,0.11%
2015_10_8_,1.2192,1.221,1.2167,1.2196,0.03%
2015_10_7_,1.2193,1.2206,1.2183,1.2192,-0.01%
2015_10_6_,1.2197,1.2205,1.2183,1.2193,-0.03%
2015_10_5_,1.2206,1.2234,1.2183,1.2197,0.02%
2015_10_2_,1.2195,1.2268,1.2181,1.2195,0.00%
2015_10_1_,1.2192,1.2213,1.218,1.2195,0.03%
2015_9_30_,1.2178,1.2204,1.2169,1.2191,0.10%
2015_9_29_,1.217,1.219,1.2156,1.2179,0.07%
2015_9_28_,1.2162,1.22,1.2155,1.217,0.09%
2015_9_25_,1.2142,1.2179,1.2133,1.2159,0.14%
2015_9_24_,1.2142,1.2185,1.2129,1.2142,0.00%
2015_9_23_,1.2158,1.2162,1.2086,1.2142,-0.13%
2015_9_22_,1.2168,1.2182,1.2145,1.2158,-0.08%
2015_9_21_,1.216,1.2196,1.2157,1.2168,-0.02%
2015_9_18_,1.2181,1.2259,1.216,1.217,-0.07%
2015_9_17_,1.2166,1.2188,1.2066,1.2179,0.08%
2015_9_16_,1.2165,1.2179,1.2139,1.2169,0.03%
2015_9_15_,1.2172,1.2182,1.2146,1.2165,-0.06%
2015_9_14_,1.2166,1.226,1.2153,1.2172,0.07%
2015_9_11_,1.215,1.2176,1.2145,1.2163,0.11%
2015_9_10_,1.2151,1.2172,1.2122,1.215,-0.01%
2015_9_9_,1.2171,1.2186,1.2111,1.2151,-0.16%
2015_9_8_,1.2171,1.22,1.2145,1.2171,0.00%
2015_9_7_,1.2201,1.2224,1.2146,1.2171,-0.16%
2015_9_4_,1.2196,1.2205,1.2146,1.2191,-0.04%
2015_9_3_,1.2186,1.2206,1.2159,1.2196,0.05%
2015_9_2_,1.2183,1.2211,1.2165,1.219,0.06%
2015_9_1_,1.2151,1.219,1.2128,1.2183,0.25%
2015_8_31_,1.2155,1.221,1.212,1.2153,0.23%
2015_8_28_,1.2096,1.2145,1.2085,1.2125,0.24%
2015_8_27_,1.2095,1.2128,1.206,1.2096,0.01%
2015_8_26_,1.2092,1.2157,1.2057,1.2095,0.06%
2015_8_25_,1.2101,1.2124,1.1997,1.2088,-0.11%
2015_8_24_,1.2126,1.2291,1.2085,1.2101,-0.33%
2015_8_21_,1.2131,1.2146,1.2105,1.2141,0.08%
2015_8_20_,1.2124,1.2144,1.2108,1.2131,0.06%
2015_8_19_,1.2128,1.2139,1.2044,1.2124,-0.03%
2015_8_18_,1.2128,1.214,1.2085,1.2128,0.00%
2015_8_17_,1.2114,1.2139,1.21,1.2128,-0.02%
2015_8_14_,1.2124,1.2164,1.2052,1.213,0.05%
2015_8_13_,1.2146,1.215,1.2033,1.2124,-0.18%
2015_8_12_,1.2263,1.2282,1.2022,1.2146,-0.95%
2015_8_11_,1.2482,1.2493,1.2246,1.2263,-1.75%
