Date,Open,High,Low,Close,Change
2016_4_8_,7.7593,7.7597,7.7561,7.7577,-0.05%
2016_4_7_,7.7563,7.7619,7.7548,7.7613,0.06%
2016_4_6_,7.7561,7.7582,7.7549,7.7566,0.00%
2016_4_5_,7.7544,7.7577,7.7529,7.7565,0.02%
2016_4_4_,7.7559,7.7561,7.7531,7.7546,0.01%
2016_4_1_,7.7568,7.7579,7.7531,7.754,-0.04%
2016_3_31_,7.7527,7.7583,7.7527,7.7572,0.05%
2016_3_30_,7.755,7.7571,7.7525,7.7535,-0.03%
2016_3_29_,7.7567,7.7588,7.7548,7.7555,-0.03%
2016_3_28_,7.757,7.7597,7.7564,7.7575,0.00%
2016_3_25_,7.7583,7.7617,7.7565,7.7577,-0.01%
2016_3_24_,7.7538,7.765,7.7536,7.7585,0.05%
2016_3_23_,7.7526,7.7584,7.7526,7.7545,0.02%
2016_3_22_,7.7521,7.755,7.7521,7.7532,0.01%
2016_3_21_,7.7554,7.7567,7.752,7.7527,-0.05%
2016_3_18_,7.7545,7.7595,7.7527,7.7564,0.02%
2016_3_17_,7.7577,7.7607,7.7539,7.755,-0.04%
2016_3_16_,7.7604,7.7654,7.7575,7.7582,-0.04%
2016_3_15_,7.7583,7.7629,7.7575,7.7611,0.03%
2016_3_14_,7.7594,7.7619,7.7565,7.759,-0.01%
2016_3_11_,7.762,7.7654,7.7573,7.7594,-0.04%
2016_3_10_,7.7656,7.7669,7.7617,7.7626,-0.05%
2016_3_9_,7.7657,7.768,7.7633,7.7664,0.02%
2016_3_8_,7.7632,7.7688,7.7632,7.7649,0.01%
2016_3_7_,7.7638,7.7702,7.7616,7.764,0.01%
2016_3_4_,7.7676,7.7713,7.7613,7.7636,-0.06%
2016_3_3_,7.7723,7.7778,7.7674,7.7682,-0.06%
2016_3_2_,7.7708,7.7767,7.7705,7.7725,0.01%
2016_3_1_,7.7769,7.7785,7.769,7.7715,-0.07%
2016_2_29_,7.7744,7.7786,7.7716,7.7773,0.03%
2016_2_26_,7.7719,7.7751,7.7665,7.775,0.03%
2016_2_25_,7.7683,7.7734,7.7666,7.7727,0.05%
2016_2_24_,7.7679,7.7724,7.7663,7.769,0.01%
2016_2_23_,7.7717,7.772,7.7652,7.7679,-0.05%
2016_2_22_,7.7734,7.7744,7.7654,7.772,-0.03%
2016_2_19_,7.7807,7.7814,7.7707,7.774,-0.10%
2016_2_18_,7.7853,7.7876,7.7725,7.7814,-0.06%
2016_2_17_,7.7914,7.7942,7.7839,7.7861,-0.07%
2016_2_16_,7.7843,7.7927,7.783,7.7915,0.09%
2016_2_15_,7.7891,7.7898,7.7826,7.7842,-0.07%
2016_2_12_,7.7901,7.7922,7.7857,7.7895,-0.02%
2016_2_11_,7.7927,7.7969,7.7849,7.7907,-0.03%
2016_2_10_,7.7969,7.7988,7.7883,7.7934,-0.05%
2016_2_9_,7.7911,7.7995,7.788,7.7973,0.04%
2016_2_8_,7.7899,7.7956,7.7851,7.7941,0.06%
2016_2_5_,7.7888,7.7962,7.7798,7.7893,0.00%
2016_2_4_,7.7953,7.7961,7.7808,7.7894,-0.08%
2016_2_3_,7.7983,7.8012,7.788,7.796,-0.04%
2016_2_2_,7.778,7.8015,7.776,7.799,0.28%
2016_2_1_,7.7819,7.7858,7.7735,7.7773,-0.04%
2016_1_29_,7.7934,7.7953,7.7794,7.7804,-0.18%
2016_1_28_,7.795,7.7962,7.7868,7.7941,-0.02%
2016_1_27_,7.7947,7.7985,7.7825,7.7957,0.02%
2016_1_26_,7.7941,7.8018,7.7911,7.7942,-0.01%
2016_1_25_,7.7976,7.7993,7.7864,7.7947,-0.06%
2016_1_22_,7.8163,7.8174,7.7853,7.7991,-0.25%
2016_1_21_,7.818,7.824,7.8069,7.819,0.01%
2016_1_20_,7.8187,7.8299,7.8137,7.8185,-0.01%
2016_1_19_,7.7988,7.8205,7.7988,7.8194,0.26%
2016_1_18_,7.7923,7.8003,7.7919,7.7988,0.07%
2016_1_15_,7.782,7.7999,7.774,7.7931,0.14%
2016_1_14_,7.7611,7.79,7.7595,7.7825,0.27%
2016_1_13_,7.7624,7.7633,7.7575,7.7618,-0.02%
2016_1_12_,7.7631,7.765,7.757,7.763,-0.02%
